title,location,area,bed,bath,price
ขายบ้านเดี่ยว เพอร์เฟคเพลส รามคําแหง ซอยรามคำแหง 164 ถนนรามคำแหง เขตลาดกระบัง กรุงเทพมหานคร,"ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",176 ตร.ว.,4,3,"10,300,000"
บ้านเดี่ยว 2 ชั้น 100 ตร. ว. หมู่บ้านเดอะทัสคาน่า วงแหวน-รามอินทรา แยกคู้บอน ถนนรามอินทรา,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร",100 ตร.ว.,4,4,"8,500,000"
บ้านเดี่ยว 2 ชั้น  91 ตร. ว. ใกล้วัดหลักสี่  ไอทีสแค ถนนกำแพงเพชร6 ซอย7 ถนนวิภาวดี,"ทุ่งสองห้อง, หลักสี่, กรุงเทพมหานคร",91 ตร.ว.,5,4,"8,900,000"
บ้านเดี่ยว 2 ชั้น 57 ตร. ว. หมู่บ้านเพอร์เฟคเพลส2  ซอยรามคำแหง164 ถนนรามคำแหง,"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",57 ตร.ว.,3,2,"4,200,000"
บ้านเดี่ยว 2 ชั้น   51.2 ตร. ว. เพอร์เฟค เพลส รามอินทรา-วงแหวน กาญจนาภิเษก5 ซอย01 ถนนรามอินทรา,"ออเงิน, สายไหม, กรุงเทพมหานคร",51.3 ตร.ว.,3,2,"5,100,000"
บ้านเดี่ยว 2 ชั้น   101 ตร. ว. หมู่บ้านฮาบิเทียปัญญา รามอินทรา2 ใกล้โรงเรียนสาธิตพัฒนา ถนนรามอินทรา,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร",101 ตร.ว.,3,3,"6,800,000"
บ้านเดี่ยว 2 ชั้น 54 ตร. ว. หมู่บ้านวิลล่าดิเอ็กซ์คลูซีฟ โซน รามอินทรา  ซอยคู้บอน27 ถนนรามอินทรา กม. 8,"ท่าแร้ง, บางเขน, กรุงเทพมหานคร",54 ตร.ว.,4,3,"4,590,000"
บ้านเดี่ยว 2 ชั้น   86.7 ตร. ว. หมู่บ้านเดอะเชนโทร รามอินทรา109 ซอยพระยาสุเรนทร์21 ถนนรามอินทรา,"บางชัน, คลองสามวา, กรุงเทพมหานคร",86.8 ตร.ว.,3,4,"8,590,000"
บ้านเดี่ยว ม. บูรพา12 ดอนเมือง ใกล้ สนามบินดอนเมือง และ ทางด่วน ศรีสมาน,"สีกัน, ดอนเมือง, กรุงเทพมหานคร",50 ตร.ว.,4,2,"4,890,000"
ขายบ้านเดี่ยว ไลฟ์ บางกอก บูเลอวาร์ด วงแหวน – พระราม 9 ใกล้ ถ. รามคำแหง ถ. ศรีนครินทร์ มอเตอร์เวย์ สุวรรณภูมิ แอร์พอร์ตลิงก์,"สะพานสูง, สะพานสูง, กรุงเทพมหานคร",52.3 ตร.ว.,4,3,"6,299,000"
"ขายบ้านเดี่ยว 3 ชั้น ย่านรามคำแหง คลองตัน พระราม 9-เพชรบุรีตัดใหม่ หมู่บ้านธารารมณ์ ใกล้MRTรามคำแหง 12 ,ใกล้Airport Link รามคำแหง , ใกล้ทองหล่อ-เอกมัย เพียง3.5 กม เหมาะแก่การซื้ออยู่อาศัย, ทำออฟฟิศ, หรือลงทุนก็ดี","สวนหลวง, สวนหลวง, กรุงเทพมหานคร",130 ตร.ว.,5,5,"38,000,000"
ขาย บ้านเดี่ยว หลังมุม พัฒนาการ โกลเด้นนครา Golden Nakara พระราม 9 -มอเตอร์เวย์ ให้เฟอร์ครบ มีห้องแม่บ้าน BL11-114,"ประเวศ, ประเวศ, กรุงเทพมหานคร",115 ตร.ว.,4,2,"19,800,000"
ขาย บ้านเดี่ยว พัฒนาการ หมู่บ้านลุมพินี สวนหลวง ร. 9 ตกแต่งสวย บ้านตัวอย่าง พัฒนาการ BK11-54,"ประเวศ, ประเวศ, กรุงเทพมหานคร",54 ตร.ว.,4,4,"12,900,000"
ขาย บ้านเดี่ยวหรู พัฒนาการ - อ่อนนุช The Plant Exclusique ทำเลเมือง ใกล้ทองหล่อ โทร. 085-161-9569 (BG 11-65),"พัฒนาการ, สวนหลวง, กรุงเทพมหานคร",65 ตร.ว.,4,4,"16,500,000"
ขาย บ้านเดี่ยวหรู พัฒนาการ - อ่อนนุช The Plant Exclusique ทำเลเมือง ใกล้ทองหล่อ โทร. 085-161-9569 (BG15-82),"พัฒนาการ, สวนหลวง, กรุงเทพมหานคร",82 ตร.ว.,3,3,"17,900,000"
